GPA,Orphanage,Disability,Community_Service,Family_Income_USD,Extracurricular_Activities,Disciplinary_Record,Scholarship_Status
2.66,Yes,Yes,No,2226,No,No,Not Eligible
1.75,No,No,No,829,No,Yes,Not Eligible
1.62,Yes,No,Yes,926,Yes,Yes,Not Eligible
3.35,No,Yes,Yes,350,Yes,No,Eligible
3.9,Yes,Yes,No,107,Yes,No,Eligible
3.88,Yes,Yes,No,266,No,No,Eligible
1.84,Yes,No,Yes,2109,Yes,No,Not Eligible
2.0,Yes,Yes,Yes,1547,Yes,No,Not Eligible
2.07,No,Yes,No,1688,Yes,Yes,Not Eligible
3.62,Yes,Yes,Yes,123,Yes,No,Eligible
3.97,No,No,No,218,Yes,No,Eligible
3.33,No,No,No,140,Yes,No,Eligible
2.4,Yes,Yes,No,1148,No,No,Not Eligible
3.27,Yes,Yes,No,1668,Yes,Yes,Not Eligible
1.63,Yes,Yes,No,1213,No,No,Not Eligible
3.27,No,No,Yes,102,No,No,Eligible
3.16,Yes,Yes,Yes,2290,Yes,Yes,Not Eligible
2.66,No,No,No,1793,Yes,Yes,Not Eligible
3.67,No,No,Yes,294,Yes,No,Eligible
2.72,Yes,No,Yes,1920,Yes,Yes,Not Eligible
3.44,No,No,Yes,118,Yes,No,Eligible
2.41,No,No,No,1534,Yes,Yes,Not Eligible
3.62,Yes,Yes,No,83,No,No,Eligible
1.74,No,No,No,2213,No,No,Not Eligible
2.29,Yes,Yes,No,1961,No,No,Not Eligible
2.57,No,Yes,No,2386,No,Yes,Not Eligible
3.9,Yes,Yes,No,287,Yes,No,Eligible
3.82,No,Yes,Yes,340,No,No,Eligible
2.52,Yes,Yes,No,550,No,Yes,Not Eligible
4.0,No,No,Yes,66,Yes,No,Eligible
3.73,No,No,Yes,281,No,No,Eligible
3.42,No,No,No,75,No,No,Eligible
3.55,No,No,No,246,Yes,No,Eligible
2.78,Yes,No,No,1357,Yes,No,Not Eligible
2.98,Yes,No,No,2259,Yes,Yes,Not Eligible
3.92,Yes,No,Yes,300,Yes,No,Eligible
2.33,Yes,Yes,Yes,2493,Yes,No,Not Eligible
1.59,Yes,No,Yes,721,No,Yes,Not Eligible
1.54,Yes,No,No,1791,Yes,No,Not Eligible
3.24,No,Yes,Yes,388,Yes,No,Eligible
2.16,Yes,Yes,Yes,1249,Yes,Yes,Not Eligible
1.72,Yes,Yes,No,1438,Yes,Yes,Not Eligible
3.99,Yes,No,Yes,266,Yes,No,Eligible
2.08,No,No,No,1484,Yes,Yes,Not Eligible
3.96,No,Yes,No,318,Yes,No,Eligible
2.08,Yes,No,No,2166,No,No,Not Eligible
2.46,No,Yes,Yes,2229,Yes,Yes,Not Eligible
3.89,No,Yes,Yes,104,No,No,Eligible
3.49,No,No,Yes,266,Yes,No,Eligible
2.0,Yes,No,Yes,1617,Yes,Yes,Not Eligible
2.96,No,Yes,No,1162,Yes,No,Not Eligible
3.61,Yes,No,No,116,Yes,No,Eligible
3.4,Yes,No,Yes,190,Yes,No,Eligible
3.53,Yes,Yes,Yes,177,No,No,Eligible
3.32,No,No,Yes,120,Yes,No,Eligible
3.25,Yes,Yes,No,68,Yes,No,Eligible
3.29,No,Yes,Yes,54,Yes,No,Eligible
2.03,No,No,No,2079,Yes,Yes,Not Eligible
3.59,Yes,No,Yes,368,Yes,No,Eligible
3.66,Yes,No,No,208,Yes,No,Eligible
3.28,Yes,Yes,Yes,900,No,No,Not Eligible
3.67,No,Yes,Yes,205,No,No,Eligible
3.37,Yes,Yes,Yes,367,No,No,Eligible
3.88,Yes,Yes,Yes,227,Yes,No,Eligible
3.89,No,Yes,No,116,Yes,No,Eligible
3.76,Yes,No,Yes,210,No,No,Eligible
2.15,No,Yes,No,433,Yes,No,Not Eligible
3.77,Yes,No,No,299,No,No,Eligible
2.01,No,Yes,Yes,2105,No,Yes,Not Eligible
3.98,Yes,No,No,134,No,No,Eligible
1.51,Yes,Yes,Yes,1444,No,No,Not Eligible
2.15,Yes,Yes,Yes,1949,Yes,No,Not Eligible
3.77,Yes,No,Yes,64,Yes,No,Eligible
3.85,Yes,No,Yes,251,Yes,No,Eligible
2.21,No,Yes,No,819,No,Yes,Not Eligible
3.23,Yes,No,Yes,276,Yes,No,Eligible
1.75,No,No,No,1576,No,Yes,Not Eligible
3.45,Yes,Yes,Yes,271,No,No,Eligible
3.46,Yes,No,Yes,238,Yes,No,Eligible
3.69,Yes,Yes,No,130,No,No,Eligible
2.44,Yes,Yes,Yes,2275,Yes,No,Not Eligible
3.43,No,No,No,382,No,No,Eligible
1.78,No,No,Yes,390,Yes,Yes,Not Eligible
2.3,Yes,No,Yes,356,Yes,Yes,Not Eligible
3.32,No,No,Yes,334,Yes,No,Eligible
3.25,Yes,No,Yes,65,Yes,No,Eligible
1.57,No,Yes,Yes,2495,No,No,Not Eligible
2.08,No,No,Yes,2207,Yes,No,Not Eligible
